Example,Alt,Bar,Fri,Hun,Pat,Price,Rain ,Res,Type,Est,Target
x1,T,F,T,F,None,$$,F,F,Thai,10-30,T
x2,T,F,F,F,Full,$,F,F,Burger,>60,F
x3,T,F,T,T,None,$,T,F,Italian,10-30,T
x4,T,F,F,T,Some,$$$,T,T,French,>60,T
x5,F,F,T,T,Some,$$,F,T,Italian,>60,T
x6,T,T,T,T,None,$$,F,F,Thai,0-10,T
x7,F,T,F,F,None,$$,F,F,Burger,>60,F
x8,T,F,F,F,None,$$,F,T,Thai,0-10,F
x9,T,F,T,T,None,$$$,F,F,Burger,>60,T
x10,F,T,T,T,None,$$$,F,T,French,>60,T
x11,F,F,F,F,Some,$$$,F,F,Thai,10-30,T
x12,T,F,F,F,Full,$,F,F,Thai,>60,F
x13,T,T,F,T,Some,$$$,F,F,Burger,10-30,T
x14,T,F,T,T,Some,$,F,T,Thai,>60,T
x15,T,F,T,T,None,$$,F,F,Italian,30-60,T
x16,F,T,F,F,None,$,F,T,Burger,10-30,F
x17,T,T,F,F,None,$,F,T,Burger,0-10,F
x18,F,T,F,F,None,$,F,F,Burger,>60,F
x19,T,F,T,F,None,$$$,T,T,French,10-30,F
x20,T,T,T,F,None,$$$,F,T,Burger,0-10,F
x21,F,T,T,T,Some,$$$,T,T,Burger,30-60,T
x22,T,F,F,F,Full,$,T,T,Burger,0-10,F
x23,T,T,T,T,Some,$$$,F,T,Burger,10-30,T
x24,F,T,T,F,None,$$$,F,F,Thai,10-30,F
x25,T,F,T,T,Full,$$,F,T,Burger,10-30,T
x26,T,F,T,F,None,$$,F,T,Thai,10-30,F
x27,T,T,T,F,Some,$$$,T,T,Burger,10-30,T
x28,T,T,F,F,None,$,F,F,Burger,10-30,F
x29,T,F,T,F,Full,$$$,T,F,Thai,0-10,F
x30,T,F,T,T,Full,$,T,F,Thai,0-10,T
x31,T,T,F,T,Some,$$$,F,F,Thai,>60,T
x32,T,T,T,T,None,$,F,F,Italian,>60,T
x33,T,T,F,F,Full,$,T,F,French,30-60,F
x34,T,T,F,F,Full,$$,T,T,French,10-30,F
x35,F,T,F,T,Some,$$$,F,T,Burger,0-10,T
x36,T,T,T,F,None,$$$,F,F,Thai,10-30,F
x37,F,T,F,F,None,$$$,T,T,French,0-10,F
x38,F,F,T,F,Full,$$,T,F,Burger,30-60,F
x39,T,T,F,F,Full,$$,T,F,Italian,30-60,F
x40,F,F,T,T,None,$$,T,F,Burger,>60,T
x41,T,F,T,T,None,$$,F,T,Burger,0-10,T
x42,F,F,T,F,None,$,T,F,Thai,>60,F
x43,F,T,F,T,None,$$$,T,T,Italian,30-60,T
x44,F,T,T,T,Full,$$$,F,T,Italian,30-60,T
x45,F,F,F,F,None,$$$,F,F,Italian,30-60,F
x46,F,F,F,T,Full,$$,F,F,Italian,10-30,T
x47,F,T,T,F,Some,$,T,T,French,10-30,T
x48,F,F,F,F,None,$$$,T,T,Burger,30-60,F
x49,F,F,T,T,None,$,F,T,Thai,10-30,T
x50,F,T,F,F,None,$$,T,T,Italian,10-30,F
x51,F,T,T,T,None,$,F,T,French,10-30,T
x52,T,F,T,T,Full,$,F,T,Italian,30-60,T
x53,T,F,T,T,Some,$$$,F,F,Italian,0-10,T
x54,T,F,T,F,Some,$,F,F,Thai,10-30,F
x55,T,F,T,T,Some,$$,T,F,Italian,0-10,T
